id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key
05dbd126-61c8-4d17-90a3-8a84232818ff,a730a314-f255-4bcc-afa8-733bd3b29706,INCIDENT_TYPE,INCIDENT 732639 - FITTER PINCHED BETWEEN GUARDRAIL AND STEEL BEAM,INCIDENT 739052 - FITTER PINCHED BETWEEN GUARDRAIL AND STEEL BEAM,0.9523809523809524,732639,739052,0.0,INCIDENT_TYPE|INCIDENT|15
7634d2aa-f36e-4902-acb4-ca638e79803b,a7ac918e-84f6-4d55-9622-790dfb4b76f5,INCIDENT_TYPE,INCIDENT 683972 - NEAR MISS-BLADE BEAUMONT ISBL PLOT-MAY 12-2020,INCIDENT 68915 - NEAR MISS-BLADE-BEAUMONT ISBL PLOT-AUG 17-2020,0.910569105691057,683972|12|2020,68915|17|2020,0.2,INCIDENT_TYPE|INCIDENT|15
7634d2aa-f36e-4902-acb4-ca638e79803b,188c1409-a102-4736-96d7-4216202de983,INCIDENT_TYPE,INCIDENT 683972 - NEAR MISS-BLADE BEAUMONT ISBL PLOT-MAY 12-2020,INCIDENT 683997 - NEAR MISS-BLADE-BEAUMONT ISBL PLOT-JUN 15-2020,0.9193548387096775,683972|12|2020,683997|15|2020,0.2,INCIDENT_TYPE|INCIDENT|15
7634d2aa-f36e-4902-acb4-ca638e79803b,ef7ffca7-0366-41af-bc6b-68070d8364c7,INCIDENT_TYPE,INCIDENT 683972 - NEAR MISS-BLADE BEAUMONT ISBL PLOT-MAY 12-2020,INCIDENT 683968 - NEAR MISS-BLADE BEAUMONT ISBL PLOT APR 23-2020,0.9193548387096775,683972|12|2020,683968|23|2020,0.2,INCIDENT_TYPE|INCIDENT|15
26a5c470-5cdd-4442-a408-416408e0dd9b,3bc1279f-b825-4a50-a772-a84d336d7ddb,INCIDENT_TYPE,INCIDENT_648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,1.0,648765|879|068107|001,648765|879|068107|001,1.0,INCIDENT_TYPE|INCIDENT|15
26a5c470-5cdd-4442-a408-416408e0dd9b,f1da3526-0e02-4776-adf3-9601aad1d4b7,INCIDENT_TYPE,INCIDENT_648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 685643 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,648765|879|068107|001,685643|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
26a5c470-5cdd-4442-a408-416408e0dd9b,107d6d9a-b095-4db3-9b49-1cb7b06bebb3,INCIDENT_TYPE,INCIDENT_648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645925 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9508196721311475,648765|879|068107|001,645925|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
26a5c470-5cdd-4442-a408-416408e0dd9b,a8f14b2e-cc3c-4fc7-8958-be6a4f77d9fa,INCIDENT_TYPE,INCIDENT_648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 645924 - NM _879-BS IV PROJECT IOCL BARAUNI_068107C001,0.9090909090909091,648765|879|068107|001,645924|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
26a5c470-5cdd-4442-a408-416408e0dd9b,d1c26f86-3110-4594-afb0-e042bb3d8bbd,INCIDENT_TYPE,INCIDENT_648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 670917 - NM-879-BS IV PROJECT IO CL BARAUNI_068107C001,0.9391304347826087,648765|879|068107|001,670917|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
26a5c470-5cdd-4442-a408-416408e0dd9b,2c755400-3032-4c85-bfbf-fbadc0a163a3,INCIDENT_TYPE,INCIDENT_648765 - NM _879-BS IV PROJECT IO CL BARAUNI_068107C001,INCIDENT 661505 - MTI_879-BS IV PROJECT IO CL BARAUNI_068107C001,0.926829268292683,648765|879|068107|001,661505|879|068107|001,0.6,INCIDENT_TYPE|INCIDENT|15
