id_l,id_r,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,block_key,weak_match
914d00ed-ebd7-47d0-988e-1668e72615c1,b9a9ea77-d659-4929-a9cc-a46c3dc5464e,EQUIPMENT,DEEP-C DREDGER (SD-038),DEEP-C DREDGER (SD-120),0.9047619047619048,038,120,0.0,EQUIPMENT|DEEP|5,False
f712154b-eaeb-48a8-a18e-794b7f6c784d,8ed95cd5-2718-4606-b414-384a6e1bedce,EQUIPMENT,DEEP-C DREDGER (SD-087),DEEP-C DREDGER (SD-088),0.9523809523809524,087,088,0.0,EQUIPMENT|DEEP|5,False
b4cd361a-4e6c-4158-90e7-6f985194e949,aa71df3e-e16e-4554-bf91-73838685233e,EQUIPMENT,DEEP-C DREDGER (SD-028),DEEP-C DREDGER (SD-097),0.9047619047619048,028,097,0.0,EQUIPMENT|DEEP|5,False
9a23c871-351e-49b3-8141-cfe716ca24f0,0a14fc2e-b2f8-4edc-a3dc-cf31fd7f0a8b,EQUIPMENT,ROLLER PATHS,ROLLER-PATHS,1.0,,,1.0,EQUIPMENT|ROLLER|3,True
978c732b-c6c3-47ab-a64f-36aa7dc21c4f,997a48a9-6b36-4939-aa2d-788733966816,EQUIPMENT,COMPANY VEHICLE LD3704,COMPANY VEHICLE LD3890,0.9090909090909092,3704,3890,0.0,EQUIPMENT|COMPANY|5,False
f0c65298-2086-415f-8578-9b4385da92bb,a4d6134f-7acc-4388-a42e-6f9c9fdc863b,LOCATION,DECK,DECK 'B',1.0,,,1.0,LOCATION|DECK|1,True
0a5c13fe-e4eb-4a69-85e1-c8cf69a83972,b926bc66-9fff-48a9-bbf8-046102a2203a,EQUIPMENT,DEEP-C DREDGER (SD-015),DEEP-C DREDGER (SD-035),0.9523809523809524,015,035,0.0,EQUIPMENT|DEEP|5,False
e9287763-538f-46ae-9c0f-d52ef3d1b756,05de7ee9-5fca-4133-b781-8b0c2c016314,EQUIPMENT,COMPANY VEHICLE LD3971,COMPANY VEHICLE LD3970,0.9545454545454546,3971,3970,0.0,EQUIPMENT|COMPANY|5,False
29c5b6e2-c972-40e7-9785-cb8e7bd8fb41,446daa49-160f-4403-b652-0336c76e7181,LOCATION,CRACKER UNIT,CRACKER UNIT 50,1.0,,50,0.0,LOCATION|CRACKER|3,False
b4cd361a-4e6c-4158-90e7-6f985194e949,401d8e81-59fa-4ef9-b20a-b95639d8ba5a,EQUIPMENT,DEEP-C DREDGER (SD-028),DEEP-C DREDGER (SD-096),0.9047619047619048,028,096,0.0,EQUIPMENT|DEEP|5,False
3a6c5c6f-b128-4dd4-8cd9-7e8033b2f9af,6b1e1985-76f5-4f9b-979f-9b03f48539f0,EQUIPMENT,DEEP-C DREDGER (SD-001),DEEP-C DREDGER (SD-060),0.9523809523809524,001,060,0.0,EQUIPMENT|DEEP|5,False
0516e10d-6f5f-4505-a9b4-36726b91a26f,c9a6bc2d-4a42-4e6a-bb7e-15739fd1b599,ORGANIZATION,LLC VELESTOY,LLC VELESSTROY,0.923076923076923,,,1.0,ORGANIZATION|LLC|3,False
93dba91e-66dd-4549-9542-181629f6a655,458537eb-838c-42f4-af78-a4854b3bb5fb,EQUIPMENT,COMPANY VEHICLE LD5595,COMPANY VEHICLE LD5500,0.9090909090909092,5595,5500,0.0,EQUIPMENT|COMPANY|5,False
1f2e2f01-b3ba-4685-8546-b0177626ce25,e44a0160-7914-4743-9670-a94d72876c02,EQUIPMENT,DEEP-C DREDGER (SD-050),DEEP-C DREDGER (SD-059),0.9523809523809524,050,059,0.0,EQUIPMENT|DEEP|5,False
3a6c5c6f-b128-4dd4-8cd9-7e8033b2f9af,6d4e7866-1586-45c8-96b7-d37efe828f4c,EQUIPMENT,DEEP-C DREDGER (SD-001),DEEP-C DREDGER (SD-049),0.9047619047619048,001,049,0.0,EQUIPMENT|DEEP|5,False
