source_dataset_l,unique_id_l,source_dataset_r,unique_id_r
df,9ecf89fa-2153-4793-b43a-1fc59b2e3999,df,f09453e5-419a-439b-b33b-6e4e2ba98f97
df,c000f1c3-4234-40f8-a631-9623a74b3bfd,df,e8bd99e4-03d3-49d0-82dc-374392b24575
df,75af3eab-95c3-4224-902b-5b320e327104,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,9a9b819d-f52d-4e49-8bd3-b33bf9a03f50,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,9a9b819d-f52d-4e49-8bd3-b33bf9a03f50,df,20f2f55c-e33c-4ea2-8b6a-6a9d9055409c
df,af0e7b7f-fcd9-4a5d-8164-00226668c040,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,a8456df0-ec00-46b1-9c88-2493ad1b6403,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,ca5b161b-ebed-4a31-878e-0d394a45bfa5,df,df86fd5d-833c-46b2-9c12-ef4d4e9a4823
df,ca5b161b-ebed-4a31-878e-0d394a45bfa5,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,aaef1ebc-7220-4e4d-b083-2a9f271fe9ba,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,aaef1ebc-7220-4e4d-b083-2a9f271fe9ba,df,20f2f55c-e33c-4ea2-8b6a-6a9d9055409c
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,d83b4d0c-0f1c-43fe-a7c5-64927448d8b1
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,b652228a-dab9-4fc0-bfdf-8132cb0d3a4d
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,053360f1-1934-4595-99e1-2c299f45143b
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,695a6f06-b861-446b-a422-96aafd27f6a4
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,f0b5291a-72e5-4b42-9a1f-af416e7d95ee
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,c6fda146-f76f-4b60-a41a-e6bd8b48f739
df,2b58580c-004e-4e99-9d02-7b75c44c2c43,df,4fec858f-f53f-4afc-8cb9-7748f08de85f
df,0c3146d0-a206-4ec1-919b-e174f7b48492,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,0c3146d0-a206-4ec1-919b-e174f7b48492,df,ea62fb46-18f8-452a-ad26-41ff9f55c6fd
df,e0bede4c-6c3d-4429-82cf-5f345ecbdc7e,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,d83b4d0c-0f1c-43fe-a7c5-64927448d8b1,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,35c61b3a-26e1-4ad4-80be-f47bd28e5531,df,1dda77d0-07be-4c92-8237-ca6d7021663b
df,35c61b3a-26e1-4ad4-80be-f47bd28e5531,df,e1c3fb05-8cfe-4da1-9070-cfdd45839bd4
df,35c61b3a-26e1-4ad4-80be-f47bd28e5531,df,18ff60b1-8061-4080-9d5b-cd73ec26e663
df,097458b4-d436-4f3e-b047-42a3096a8b85,df,3a53e095-f32b-42e3-9e6c-0dc5eec7618a
