src,rel,dst,src_label,dst_label,row_id
node:fb45a8eea326f469,raped,node:459850448cb2c5ce,operator,his back,7383
node:94894d0480830370,is,node:3a0fe8545bac232e,type,Injury/Illness,7383
node:f65bceae9e1f5084,is,node:4dd842546de55b2c,description,Negligible,7383
node:1a345cef2abea8d3,is,node:ee7d7df4366777c2,severity value,1.0,7383
node:94894d0480830370,description of is,node:1d051ddebb2afa7b,type,Frequency,7383
node:f65bceae9e1f5084,is Frequency of,node:f59c096b3321a5ef,description,incident,7383
node:f65bceae9e1f5084,is,node:1d051ddebb2afa7b,description,Frequency,7383
node:b66ca7b81154bd22,is,node:ee7d7df4366777c2,value,1.0,7383
node:8987dddee8db0aa6,is,node:ee7d7df4366777c2,criticality,1.0,7383
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,7383
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,7383
node:1dc98cc9a40e5a79,is,node:eda229aab6a7cb97,date,00:00.0,7383
node:afc97a12f07d4317,is,node:b7a3802d43e0d4cc,General Business Unit involved,REMS,7383
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,7383
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,7383
node:efb0833c3b6eb969,is,node:2b04b04221128fac,specific Business Unit,Subsea Processing,7383
node:9613588cae9c50d2,is,node:2b04b04221128fac,The General Business Unit,Subsea Processing,7383
node:9613588cae9c50d2,involved in,node:9e0a3afd66f4fadf,The General Business Unit,case,7383
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,7383
node:5322bd41eb35fa05,is,node:a5e8d30551a7cb72,name,Non Project Specific,7383
node:99ac13c2bb0f4fc7,is,node:dced6ea9be60cf06,client,TECHNIPFMC PLC.,7383
node:d9d10f1dc86defd4,is,node:0fd25730b84c418a,case categorization,Falls,7383
node:d9d10f1dc86defd4,trips on,node:92de4aaab559e717,case categorization,level,7383
node:d9d10f1dc86defd4,trips on,node:3db2cadf10105d02,case categorization,same level,7383
node:beef3462beb17905,are,node:e43df9a07791cf5a,life rules,Safe Mechanical Lifting,7383
node:beef3462beb17905,are,node:70859b7f9205dc81,life rules,Safe Lifting,7383
node:ccc83dc829b0c87c,are,node:70859b7f9205dc81,life saving rules,Safe Lifting,7383
node:ccc83dc829b0c87c,are,node:e43df9a07791cf5a,life saving rules,Safe Mechanical Lifting,7383
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,7383
node:9e0a3afd66f4fadf,was reported on,node:76cc366a69e13c91,case,5/20/2021,7383
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,7383
node:fd062c23cbff59ef,was,node:ee7d7df4366777c2,loss potential severity,1.0,7383
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,7383
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,7383
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,7383
node:3dc2d5f80ef9d4ee,is,node:a5e8d30551a7cb72,operating center,Non Project Specific,7383
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,7383
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,7383
node:2809263c1552cd5a,is,node:42597006dd9cdfba,location code,TFMC212,7383
node:f59c096b3321a5ef,code of is,node:42597006dd9cdfba,incident,TFMC212,7383
node:8816bfad41ee8613,was using,node:9038e613ed695757,ROV,pry bar with lanyard,29857
node:fa1e3e124de010c9,dropped,node:845f53ca5412b01c,lanyard,Pry Bar,29857
node:8816bfad41ee8613,replace,node:fa1e3e124de010c9,ROV,lanyard,29857
node:845f53ca5412b01c,is with,node:fa1e3e124de010c9,pry bar,lanyard,29857
node:8816bfad41ee8613,returned in,node:13bb81856f55feec,ROV,anticipation,29857
node:8816bfad41ee8613,was using,node:845f53ca5412b01c,ROV,pry bar,29857
node:8816bfad41ee8613,returned to,node:dd8810832f458e17,ROV,TMS,29857
node:94894d0480830370,is,node:3cb7d2848a6144c8,type,Environment,29857
node:f65bceae9e1f5084,is,node:4dd842546de55b2c,description,Negligible,29857
node:1a345cef2abea8d3,is,node:ee7d7df4366777c2,severity value,1.0,29857
node:f65bceae9e1f5084,is,node:f9d5f765546f2696,description,Exposure,29857
node:f65bceae9e1f5084,is Exposure to,node:107af1ad6cd438ad,description,activity,29857
