record_no,subject,relation,object
29857,ROV,was using,pry bar
29857,ROV,returned,Pry Bar
29857,ROV,dropped,Pry Bar
29857,Activity,occurs,Remote
29857,title,is Dropped,pry bar
29857,life,saving,rules
764,TFMC panel operator,followed,end
764,Serimax collaborators,were following,middle end
764,noise,was heard,occurrence
764,TFMC panel operator,moved,occurrence
764,noise,checked,occurrence
764,supervisor,was accompanied,middle end
764,spot,arrived,occurrence
764,TFMC panel operator,moved,occurrence
764,spot,checked,occurrence
764,supervisor,was accompanied,case
764,life,saving are,rules Bypassing Obtain authorization
324,T Forklift,was transporting,cabin basket
324,life,saving,rules
16174,personnel,attempted,to climb the stairs leading to the office cabin
16174,leg,hit,staircase
16174,leg,had,bruise
16174,life,saving,rules
10410,life,saving,rules
676,Pallet,had been stored,forklift to be mobilized for offshore project
676,Pallet,was being picked,forklift to be mobilized for offshore project
676,Crate,had,damages
676,life,saving,rules
25682,IP,ascending,stairs
25682,Activity,occurs,less
25682,life,saving,rules
69,office worker,was making,food
69,that,involved,boiling water
69,IP,squeezed,pot
69,action,made,water overflow
69,life,saving,rules
12611,cutting torch,had been used,to remove a gusset plate
12611,that,leave,mm excess
12611,cutting discs,have been used,to remove the scars from the deck as opposed to grinding discs again resulting in the deck being undercut
12611,life,saving,rules
14942,vehicle,was hit,back
14942,life,saving,rules
28419,CO2 extinguisher,was collected,TPU panel
28419,half,was used,to smother the flames
28419,extraction,was started,to deal with a small amount of smoke
28419,extraction,moved,to deal with a small amount of smoke
28419,life,saving,rules
15823,Challenger 28MAY2023 Load,contacted,crane walkway
15823,life,saving,rules
21343,Employees,were setting,workstation
21343,employee,grabbed,cardboard box
21343,employee,filled,it
21343,he,decided,to put a heat gun on top of the box to warm up the tape
21343,HSE supervisor,sent,employees
21343,life,saving,rules
13578,Technician,was transporting,pallet
13578,one,fell,forklift
13578,one,was run,forklift
13578,life,saving,rules
29125,NSA,was laying,static
29125,- contractor,heard,something drop
29125,- contractor,saw,nut
29125,nut,landed,frame
29125,nut,slid,frame
29125,nut,weighed,grams
29125,nut,fell,distance
29125,DROPS Calculator,shows,this
29125,Activity,occurs,Remote
29125,life,saving,rules
364,Medic,flushed,eye
364,Medic,provided,OTC pain medication
364,2/22/2022 IP,reported,improvement
364,Activity,occurs,Remote
364,life,saving,rules
25926,she,accessed,socket
25926,floor port cover,was replaced,cover
25926,floor port cover,leaving,cover
25926,she,adjusted,chair
25926,leg,contacted,lip
25926,This,raises,issue
25926,life,saving,rules
26548,crew member,rolled,ankle
26548,who,sent,him
26548,incident,Did involve,injury
26548,incident,have,potential
26548,incident,Did involve,damage
26548,RWC Person,rolled,ankle accessing the back deck
26548,ankle,accessing,deck
26548,life,saving,rules
7557,technician,started,process
7557,door,became,to have sheared at their securing points ( spindle to piston
7557,door,appear,to have sheared at their securing points ( spindle to piston
7557,HSE,have started,interviews
7557,it,appears,interviews
