id,label,type
node:7688bb02-3e3c-4f02-901d-e33e2471f21f,INCIDENT 708948 - PROPERTY DAMAGE AT MOZ LNG SHAWCOR CHANNELVIEW,INCIDENT_TYPE
node:f70c0ecd-07ea-43ad-9154-89e8dd02d77b,MOZ LNG,ORGANIZATION
node:acf6ca83-8dbd-4a3e-ae7d-bfb6bca99494,SHAWCOR CHANNELVIEW,LOCATION
node:339f27c3-dcc2-4925-89b8-d8a13d1a0579,2021-03-09,DATE
node:9ecf89fa-2153-4793-b43a-1fc59b2e3999,TU INC,ORGANIZATION
node:a89cd7e3-a93f-4fac-8d7e-6f16babc8e47,CHANNELVIEW,LOCATION
node:8e84616c-cbc1-4f3c-b715-d9834e764a14,USA,LOCATION
node:f79dbd92-d66b-4b94-95d8-0fd9c5a5dd9d,NORTH AMERICA,LOCATION
node:ab7c9b18-664d-47ef-856e-035a388493a0,NEAR MISS 598903 - S56003 BUTTING PIPE LOAD IN,INCIDENT_TYPE
node:369130aa-22f3-458f-8395-b25c31ba3278,BREMEN PORT,LOCATION
node:c3317abe-26fc-4bb2-b88e-f0539b9c48c9,S56003,EQUIPMENT
node:6d79680a-3e49-405f-8942-2a3570a90d74,BUBI? PIPE NO 2111 (MLP COATING),EQUIPMENT
node:b1dcde3f-6388-4af2-a9ac-0674937acc2d,"723, 747, 821, 1057, 1134, 1141, 2111",EQUIPMENT
node:75af3eab-95c3-4224-902b-5b320e327104,"UNKNOWN, UNKNOWN, GERMANY, EUROPE",LOCATION
node:8d461b5c-7dfd-4ed1-bfb1-09ebf239813d,ACCIDENT 8364 - MINOR ENVIRONMENTAL - SHELL TELLUS S3 RELEASED 5LTRS FROM THE HOT STAB DUMMY,INCIDENT_TYPE
node:3c3a3586-2618-40e7-abeb-9c650ed267c7,ROV SUPPORTER 30,EQUIPMENT
node:bea8c1ce-bb80-4527-a43f-10f8408fae2c,5LTRS,EQUIPMENT
node:43ab1348-47d0-42bd-8da0-668a03e0fc36,"NORTH SEA GIANT, ABERDEEN, UK, EUROPE, TECHNIPFMC",LOCATION
node:9d04d284-86ce-47a0-96e1-f82c4376212b,2022-05-23,DATE
node:497014b6-e5d7-4d86-9e76-ce45cfcdd929,ACCIDENT 548843 - FAC - NS-31 - INJURE DURING DUAL HOT STAB INSTALLATION,INCIDENT_TYPE
node:6c6cf49e-631e-4ce7-9645-85891ddff4a9,EMPLOYEE,ORGANIZATION
node:9caf223a-1fc9-434b-8d10-bfa65092e073,FIBAP,ORGANIZATION
node:ca4992b9-e0f0-4f34-81ad-25141ddfd8bf,"CABIUNAS BASE, MACAE, BRAZIL, SOUTH AMERICA",LOCATION
node:1e977a8c-64e4-4404-b72a-70a1c61ef033,PETROLEO BRASILEIRO S/A PETROBRAS,CLIENT
node:66795b26-d50a-44b2-bcff-094b20e1bef9,FIELD INSTALLATIONS ENGINEERING,WORK_PROCESS
