incident_id,source,description,target,text_unit_id,relationship_id,document_id
99,ACCIDENT 99 - AT FLEXI FRANCE INFIRMERY 26/01/2EN MALAISSE D'UN COLLABORATEUR,"INVOLVED
LOCATION_CODE
REPORTED_DATE
OCCURRED_AT",FLEXI FRANCE INFIRMERY 26/01/2EN MALAISSE D'UN COLLABORATEUR,86b76ba9ffdf1d25eadf4e51404b6dd1b8c647ecaa5ebf48bcea7989ed4ccbc7482fbf9edb55335ae96d28ae7625677079d7c337bea875adb5452cfc44005946,50581bb9-b19b-406d-bc4b-63290ca89198,289a6cfa5b1b218c245682eecfafa2e9f028dc1ab0fe41384fecb834f26fb7e039ffb496649e08ffd7918312e4f3f9fea89346ade067a545ee5df16530169293
99,COLLABORATOR,INVOLVED,ACCIDENT 99 - AT FLEXI FRANCE INFIRMERY 26/01/2EN MALAISSE D'UN COLLABORATEUR,86b76ba9ffdf1d25eadf4e51404b6dd1b8c647ecaa5ebf48bcea7989ed4ccbc7482fbf9edb55335ae96d28ae7625677079d7c337bea875adb5452cfc44005946,d982ccc6-3d5b-4c12-94ff-005d261620d4,289a6cfa5b1b218c245682eecfafa2e9f028dc1ab0fe41384fecb834f26fb7e039ffb496649e08ffd7918312e4f3f9fea89346ade067a545ee5df16530169293
124,ACCIDENT 124 - NEAR MISS CLEAN ROOM CEILING COLLAPSED,OCCURRED_AT,KARRATHA MAINTEN0 FACILITY,41c9db2cac31ad3f6695a3914437791968502ce43a81644ad86f9a1c40e25fa44ccf723d84e9657eaee2e47e76cb93b2e907229f948e5df52d738b7d59159bdf,a95946b5-3470-43ad-a784-53899a982999,b964b6df62424d398480e1443867cdfe0e0b6bbae6922abfe137c4fe0a9aa6af7896cbec3baeed74cb3981640789a89295b0baccb2d245c4ccf7e6d3628b9e33
124,ACCIDENT 124 - NEAR MISS CLEAN ROOM CEILING COLLAPSED,OCCURRED_AT,2022-01-31,41c9db2cac31ad3f6695a3914437791968502ce43a81644ad86f9a1c40e25fa44ccf723d84e9657eaee2e47e76cb93b2e907229f948e5df52d738b7d59159bdf,63916d5c-a4f0-4573-8861-c90fd6c4314e,b964b6df62424d398480e1443867cdfe0e0b6bbae6922abfe137c4fe0a9aa6af7896cbec3baeed74cb3981640789a89295b0baccb2d245c4ccf7e6d3628b9e33
124,ACCIDENT 124 - NEAR MISS CLEAN ROOM CEILING COLLAPSED,INVOLVED,STOREROOM CEILING COLLECTED DURING INCIDENT 124 - NEAR MISS CLEAN ROOM CEILING COLLAPSED,41c9db2cac31ad3f6695a3914437791968502ce43a81644ad86f9a1c40e25fa44ccf723d84e9657eaee2e47e76cb93b2e907229f948e5df52d738b7d59159bdf,52d78e3a-24f9-4dc2-a633-c36ea651be2b,b964b6df62424d398480e1443867cdfe0e0b6bbae6922abfe137c4fe0a9aa6af7896cbec3baeed74cb3981640789a89295b0baccb2d245c4ccf7e6d3628b9e33
159,ACCIDENT 159 - SLIPPED ON ICE,INVOLVED,EMPLOYEE,5b6d2a47f85160ae18cb4a3d2bc0fe17311a7cc3cb2a15b5eabd0f66d12534de119ecc90f3c88990ce153fdda6407806e19bd9ed783a8d0f2961a9e745c06991,25b22387-0073-4315-a03f-18dfa666e1df,28d896e574a548a1ee01bf8234df6070e24dbeeb02f84e0c13e66b08ba498474d9c3e0433c8c7fa2972c2831c3c289ba83a814b4c0cb65041e458e1c934db82a
159,ACCIDENT 159 - SLIPPED ON ICE,CAUSED_BY,ICE,5b6d2a47f85160ae18cb4a3d2bc0fe17311a7cc3cb2a15b5eabd0f66d12534de119ecc90f3c88990ce153fdda6407806e19bd9ed783a8d0f2961a9e745c06991,d3a8482d-045f-4918-9bb5-c8b3dd735590,28d896e574a548a1ee01bf8234df6070e24dbeeb02f84e0c13e66b08ba498474d9c3e0433c8c7fa2972c2831c3c289ba83a814b4c0cb65041e458e1c934db82a
266,"""ACCIDENT 266 - ACCIDENT IN THE GENERAL BUSINESS UNIT OF TECHNIP FMC PLC IN HOUSTON, USA ON FEBRUARY 10, 20TON FORKLIFT DENTED EQUIPMENT""","""ACCIDENT 266 - ACCIDENT IN THE GENERAL BUSINESS UNIT of Technip FMC PLC in Houston, USA on February 10, 20TON FORKLIFT DENTED EQUIPMENT""",CAUSED_BY,d3b7dc5c64220658c82f130b0c60f48d59ddc81bb92e9c7f87e3286f49ebfa72aa641aa349b342cba555fc5ce9022ca89e93dc52caf18fb5e176cfba5c438be6,90bfab53-0ce1-4204-b6b7-779b092cf3b5,ebd78d5b066d4c611b6076d57d28215b38ea9bb43278495e7c3d83f86457f46d54a33f253c22795f6668aae65079ad7e8559bc22240cf7007c22fbbf377a0132
324,NUSAJAYA CAMPUS 2,OCCURRED_AT,ACCIDENT 324 - DONTKNOWN INCIDENT_TYPE,0681f0be8f4341f98646f3c9abefea112f820a72ace350e2c3ead170c34e6a0f7bb6aeadb269ccf399a5e6a07e1bf5774f5a7a9d874bfad8cffd90f3e424aa49,3bfb29d8-e729-4ebc-aaba-740c76d0de6c,720f7b3c7ef0435625791f6dab78ac72632d60211e5d3fd988e3e1adc1e72c3db7b92adadbc970c6d5558d1eeaa483c75c78a80c5a36e76a91b5697eae69939f
324,ACCIDENT 324 - DONTKNOW DATE OF OCCURRENCE,OCCURED_AT,REPORTED_DATE,0681f0be8f4341f98646f3c9abefea112f820a72ace350e2c3ead170c34e6a0f7bb6aeadb269ccf399a5e6a07e1bf5774f5a7a9d874bfad8cffd90f3e424aa49,16ae2465-30cf-4deb-90f1-4724d4a6610c,720f7b3c7ef0435625791f6dab78ac72632d60211e5d3fd988e3e1adc1e72c3db7b92adadbc970c6d5558d1eeaa483c75c78a80c5a36e76a91b5697eae69939f
