entity_id,entity_type,value,garbage_category,degree,edges_affected
ORGANIZATION::D8,ORGANIZATION,D8,short_non_abbreviation,2,2
LOCATION::BE,LOCATION,BE,stop_word,3,3
ORGANIZATION::WE,ORGANIZATION,We,stop_word,21,21
ORGANIZATION::B9,ORGANIZATION,B9,short_non_abbreviation,9,9
ORGANIZATION::IE,ORGANIZATION,IE,short_non_abbreviation,4,4
EQUIPMENT::CP,EQUIPMENT,cp,short_non_abbreviation,2,2
LOCATION::TH,LOCATION,TH,short_non_abbreviation,4,4
LOCATION::A9,LOCATION,A9,short_non_abbreviation,7,7
LOCATION::H3,LOCATION,H3,short_non_abbreviation,1,1
LOCATION::H4,LOCATION,H4,short_non_abbreviation,1,1
EQUIPMENT::XT,EQUIPMENT,XT,short_non_abbreviation,68,68
ORGANIZATION::TH,ORGANIZATION,TH,short_non_abbreviation,3,3
LOCATION::SZ,LOCATION,SZ,short_non_abbreviation,3,3
ORGANIZATION::PM,ORGANIZATION,PM,short_non_abbreviation,3,3
ORGANIZATION::OP,ORGANIZATION,OP,short_non_abbreviation,4,4
LOCATION::MT,LOCATION,MT,short_non_abbreviation,1,1
LOCATION::RJ,LOCATION,RJ,short_non_abbreviation,1,1
EQUIPMENT::TV,EQUIPMENT,TV,short_non_abbreviation,9,9
ORGANIZATION::DO,ORGANIZATION,DO,stop_word,3,3
LOCATION::M3,LOCATION,M3,short_non_abbreviation,2,2
LOCATION::B6,LOCATION,B6,short_non_abbreviation,1,1
ORGANIZATION::LP,ORGANIZATION,LP,short_non_abbreviation,3,3
ORGANIZATION::LM,ORGANIZATION,LM,short_non_abbreviation,1,1
LOCATION::1804,LOCATION,1804,numeric_only,1,1
EQUIPMENT::PT,EQUIPMENT,PT,short_non_abbreviation,2,2
LOCATION::A,LOCATION,A,single_char,2,2
ORGANIZATION::DR,ORGANIZATION,DR,short_non_abbreviation,1,1
LOCATION::JB,LOCATION,JB,short_non_abbreviation,1,1
EQUIPMENT::T1,EQUIPMENT,T1,short_non_abbreviation,2,2
ORGANIZATION::FA,ORGANIZATION,FA,short_non_abbreviation,7,7
LOCATION::B9,LOCATION,B9,short_non_abbreviation,3,3
ORGANIZATION::SO,ORGANIZATION,SO,stop_word,3,3
LOCATION::NM,LOCATION,NM,short_non_abbreviation,3,3
LOCATION::1806,LOCATION,1806,numeric_only,3,3
EQUIPMENT::CG,EQUIPMENT,CG,short_non_abbreviation,1,1
BODY_PART::R,BODY_PART,r,single_char,1,1
ORGANIZATION::W,ORGANIZATION,W,single_char,1,1
LOCATION::CT,LOCATION,CT,short_non_abbreviation,2,2
ORGANIZATION::IT,ORGANIZATION,IT,stop_word,7,7
EQUIPMENT::W7,EQUIPMENT,W7,short_non_abbreviation,1,1
EQUIPMENT::W1,EQUIPMENT,W1,short_non_abbreviation,2,2
BODY_PART::W1,BODY_PART,W1,short_non_abbreviation,1,1
BODY_PART::W7,BODY_PART,W7,short_non_abbreviation,1,1
ORGANIZATION::WS,ORGANIZATION,WS,short_non_abbreviation,7,7
BODY_PART::C,BODY_PART,C,single_char,1,1
ORGANIZATION::CD,ORGANIZATION,CD,short_non_abbreviation,1,1
ORGANIZATION::AB,ORGANIZATION,AB,short_non_abbreviation,12,12
ORGANIZATION::MI,ORGANIZATION,MI,short_non_abbreviation,2,2
ORGANIZATION::B7,ORGANIZATION,B7,short_non_abbreviation,3,3
EQUIPMENT::PC,EQUIPMENT,PC,short_non_abbreviation,2,2
ORGANIZATION::QA,ORGANIZATION,QA,short_non_abbreviation,4,4
BODY_PART::FT,BODY_PART,ft,short_non_abbreviation,4,4
EQUIPMENT::A6,EQUIPMENT,A6,short_non_abbreviation,1,1
ORGANIZATION::DJ,ORGANIZATION,DJ,short_non_abbreviation,5,5
EQUIPMENT::TH,EQUIPMENT,TH,short_non_abbreviation,6,6
ORGANIZATION::QC,ORGANIZATION,QC,short_non_abbreviation,27,27
ORGANIZATION::ML,ORGANIZATION,ML,short_non_abbreviation,2,2
ORGANIZATION::GP,ORGANIZATION,GP,short_non_abbreviation,9,9
BODY_PART::O,BODY_PART,o,single_char,2,2
EQUIPMENT::M4,EQUIPMENT,M4,short_non_abbreviation,1,1
ORGANIZATION::MA,ORGANIZATION,MA,short_non_abbreviation,1,1
LOCATION::4506,LOCATION,4506,numeric_only,1,1
ORGANIZATION::553,ORGANIZATION,553,numeric_only,1,1
ORGANIZATION::DF,ORGANIZATION,DF,short_non_abbreviation,2,2
LOCATION::XT,LOCATION,XT,short_non_abbreviation,10,10
LOCATION::AL,LOCATION,AL,short_non_abbreviation,2,2
EQUIPMENT::T4,EQUIPMENT,T4,short_non_abbreviation,4,4
ORGANIZATION::HR,ORGANIZATION,HR,short_non_abbreviation,9,9
LOCATION::P1,LOCATION,P1,short_non_abbreviation,5,5
ORGANIZATION::BH,ORGANIZATION,BH,short_non_abbreviation,5,5
LOCATION::BH,LOCATION,BH,short_non_abbreviation,1,1
BODY_PART::PÉ,BODY_PART,pé,short_non_abbreviation,1,1
ORGANIZATION::911,ORGANIZATION,911,numeric_only,16,16
LOCATION::B7,LOCATION,B7,short_non_abbreviation,2,2
ORGANIZATION::L4,ORGANIZATION,L4,short_non_abbreviation,1,1
LOCATION::C,LOCATION,C,single_char,1,1
ORGANIZATION::BE,ORGANIZATION,BE,stop_word,3,3
ORGANIZATION::FF,ORGANIZATION,FF,short_non_abbreviation,3,3
LOCATION::108.500,LOCATION,108.500,numeric_only,1,1
ORGANIZATION::GE,ORGANIZATION,GE,short_non_abbreviation,6,6
LOCATION::WA,LOCATION,WA,short_non_abbreviation,11,11
EQUIPMENT::LU,EQUIPMENT,LU,short_non_abbreviation,1,1
ORGANIZATION::CE,ORGANIZATION,CE,short_non_abbreviation,3,3
ORGANIZATION::NI,ORGANIZATION,NI,short_non_abbreviation,3,3
LOCATION::1815,LOCATION,1815,numeric_only,1,1
LOCATION::E5,LOCATION,E5,short_non_abbreviation,6,6
LOCATION::E4,LOCATION,E4,short_non_abbreviation,3,3
ORGANIZATION::WC,ORGANIZATION,WC,short_non_abbreviation,2,2
LOCATION::985,LOCATION,985,numeric_only,1,1
LOCATION::3Q,LOCATION,3Q,short_non_abbreviation,1,1
ORGANIZATION::THEY,ORGANIZATION,They,stop_word,2,2
LOCATION::E1,LOCATION,E1,short_non_abbreviation,1,1
LOCATION::E2,LOCATION,E2,short_non_abbreviation,2,2
LOCATION::E3,LOCATION,E3,short_non_abbreviation,2,2
ORGANIZATION::IC,ORGANIZATION,IC,short_non_abbreviation,1,1
ORGANIZATION::OO,ORGANIZATION,OO,short_non_abbreviation,4,4
EQUIPMENT::CB,EQUIPMENT,CB,short_non_abbreviation,1,1
LOCATION::WC,LOCATION,WC,short_non_abbreviation,6,6
EQUIPMENT::DA,EQUIPMENT,DA,short_non_abbreviation,1,1
EQUIPMENT::ITS,EQUIPMENT,ITS,stop_word,1,1
ORGANIZATION::BM,ORGANIZATION,BM,short_non_abbreviation,2,2
ORGANIZATION::AH,ORGANIZATION,AH,short_non_abbreviation,1,1
LOCATION::1604,LOCATION,1604,numeric_only,1,1
ORGANIZATION::PA,ORGANIZATION,PA,short_non_abbreviation,2,2
ORGANIZATION::LB,ORGANIZATION,LB,short_non_abbreviation,1,1
ORGANIZATION::SC,ORGANIZATION,SC,short_non_abbreviation,2,2
ORGANIZATION::3C,ORGANIZATION,3C,short_non_abbreviation,1,1
ORGANIZATION::KM,ORGANIZATION,KM,short_non_abbreviation,1,1
LOCATION::DB,LOCATION,DB,short_non_abbreviation,4,4
LOCATION::3505,LOCATION,3505,numeric_only,2,2
LOCATION::L2,LOCATION,L2,short_non_abbreviation,2,2
ORGANIZATION::TP,ORGANIZATION,TP,short_non_abbreviation,5,5
EQUIPMENT::P3,EQUIPMENT,P3,short_non_abbreviation,2,2
LOCATION::LB,LOCATION,LB,short_non_abbreviation,1,1
LOCATION::L0,LOCATION,L0,short_non_abbreviation,2,2
ORGANIZATION::QP,ORGANIZATION,QP,short_non_abbreviation,1,1
LOCATION::16.40,LOCATION,16.40,numeric_only,1,1
LOCATION::SA,LOCATION,SA,short_non_abbreviation,3,3
ORGANIZATION::SA,ORGANIZATION,SA,short_non_abbreviation,2,2
LOCATION::P4,LOCATION,P4,short_non_abbreviation,4,4
LOCATION::BF,LOCATION,BF,short_non_abbreviation,1,1
ORGANIZATION::IR,ORGANIZATION,IR,short_non_abbreviation,3,3
LOCATION::5526,LOCATION,5526,numeric_only,1,1
ORGANIZATION::AO,ORGANIZATION,AO,short_non_abbreviation,1,1
INJURY_TYPE::DS,INJURY_TYPE,Ds,short_non_abbreviation,1,1
ORGANIZATION::IW,ORGANIZATION,IW,short_non_abbreviation,1,1
LOCATION::M9,LOCATION,M9,short_non_abbreviation,2,2
