entity_type,entity_a_id,entity_a_value,entity_a_degree,entity_b_id,entity_b_value,entity_b_degree,similarity_score,merge_rule,combined_degree
ORGANIZATION,ORGANIZATION::TECHNIPFMC PLC,TECHNIPFMC PLC,2518,ORGANIZATION::TECHNIPFMC,TECHNIPFMC,1821,1.0,legal_suffix_strip,4339
ORGANIZATION,ORGANIZATION::TECHNIPFMC PLC,TECHNIPFMC PLC,2518,ORGANIZATION::TFMC,TFMC,336,1.0,exact_normalized,2854
ORGANIZATION,ORGANIZATION::TECHNIPFMC PLC,TECHNIPFMC PLC,2518,ORGANIZATION::TECHNIP FMC,TECHNIP FMC,145,0.9524,near_exact,2663
ORGANIZATION,ORGANIZATION::TECHNIPFMC PLC,TECHNIPFMC PLC,2518,ORGANIZATION::TECHNPFMC,TechnpFMC,1,0.9474,jaro_winkler,2519
ORGANIZATION,ORGANIZATION::TECHNIPFMC PLC,TECHNIPFMC PLC,2518,ORGANIZATION::TECHNIPFMC UK,TechnipFMC UK,1,0.8696,jaro_winkler,2519
ORGANIZATION,ORGANIZATION::TECHNIPFMC PLC,TECHNIPFMC PLC,2518,ORGANIZATION::TECHNIP PMC,Technip PMC,1,0.8571,jaro_winkler,2519
ORGANIZATION,ORGANIZATION::TECHNIPFMC,TECHNIPFMC,1821,ORGANIZATION::TFMC,TFMC,336,1.0,exact_normalized,2157
ORGANIZATION,ORGANIZATION::TECHNIPFMC,TECHNIPFMC,1821,ORGANIZATION::TECHNIP FMC,TECHNIP FMC,145,0.9524,near_exact,1966
ORGANIZATION,ORGANIZATION::TECHNIPFMC,TECHNIPFMC,1821,ORGANIZATION::TECHNPFMC,TechnpFMC,1,0.9474,jaro_winkler,1822
ORGANIZATION,ORGANIZATION::TECHNIPFMC,TECHNIPFMC,1821,ORGANIZATION::TECHNIPFMC UK,TechnipFMC UK,1,0.8696,jaro_winkler,1822
ORGANIZATION,ORGANIZATION::TECHNIPFMC,TECHNIPFMC,1821,ORGANIZATION::TECHNIP PMC,Technip PMC,1,0.8571,jaro_winkler,1822
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::UNCONTROLLED MOVING OBJECTS/ PARTS (STRUCK BY OTHER THAN MACHINE PARTS AND DROPPED OBJECTS),Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),345,ROOT_CAUSE_CATEGORY::MECHANICAL - UNCONTROLLED MOVING OBJECTS/ PARTS (STRUCK BY OTHER THAN MACHINE PARTS AND DROPPED OBJECTS),Mechanical - Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),1126,0.9333,substring_match,1471
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::HAZARD IDENTIFICATION & RISK ASSESSMENT,Hazard Identification & Risk Assessment,333,ROOT_CAUSE_CATEGORY::BASIC ORGANIZATIONAL - HAZARD IDENTIFICATION & RISK ASSESSMENT,Basic Organizational - Hazard Identification & Risk Assessment,973,0.7723,substring_match,1306
ROOT_CAUSE_CATEGORY,ROOT_CAUSE_CATEGORY::EQUIPMENT CONDITION,Equipment condition,359,ROOT_CAUSE_CATEGORY::MECHANICAL - EQUIPMENT CONDITION,Mechanical - Equipment condition,896,0.7451,substring_match,1255
