is_match,type,title_l,title_r,score,nums_l,nums_r,num_jaccard,num_mismatch,risk_score
1,ORGANIZATION,TECHNIPFMC PLC,TechnipFMC UK,0.8696,,,1,FALSE,8.528
1,ORGANIZATION,TECHNIPFMC PLC,Technip PMC,0.8571,,,1,FALSE,8.403
1,ORGANIZATION,TECHNIPFMC PLC,TECHNIPFMC,1,,,1,FALSE,8.376
1,ORGANIZATION,TECHNIPFMC PLC,TECHNIP FMC,0.9524,,,1,FALSE,8.364
1,ORGANIZATION,TECHNIPFMC PLC,TechnpFMC,0.9474,,,1,FALSE,8.358
1,ORGANIZATION,TECHNIPFMC,TechnipFMC UK,0.8696,,,1,FALSE,8.204
0,LOCATION,Global 1201,Global 1200,0.9091,1201,1200,0,TRUE,8.151
1,ORGANIZATION,TECHNIPFMC,Technip PMC,0.8571,,,1,FALSE,8.079
1,ORGANIZATION,TECHNIPFMC,TECHNIP FMC,0.9524,,,1,FALSE,8.06
1,ORGANIZATION,TECHNIPFMC,TechnpFMC,0.9474,,,1,FALSE,8.034
1,ROOT_CAUSE_CATEGORY,"Falls, slips and trips on same level (without potential to fall to lower level)","Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",0.8927,,,1,FALSE,8.002
1,ROOT_CAUSE_CATEGORY,Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),Mechanical - Uncontrolled moving objects/ parts (struck by other than machine parts and dropped objects),0.9333,,,1,FALSE,7.961
1,ORGANIZATION,TECHNIPFMC PLC,TFMC,1,,,1,FALSE,7.957
1,ROOT_CAUSE_CATEGORY,Hazardous liquids (exposure to / spill / loss of containment /pollution),Substances  - Hazardous liquids (exposure to / spill / loss of containment /pollution),0.9114,,,1,FALSE,7.831
1,ORGANIZATION,FLEXI FRANCE,Flexi-France,0.9167,,,1,FALSE,7.747
1,ORGANIZATION,TECHNIPFMC,TFMC,1,,,1,FALSE,7.677
1,ORGANIZATION,FLEXI FRANCE,FLEXI FRANCE SAS,0.8571,,,1,FALSE,7.495
0,EQUIPMENT,forklift,forklift 1,0.8889,,1,0,FALSE,7.49
0,EQUIPMENT,forklift,forklift 2,0.8889,,2,0,FALSE,7.49
0,ROOT_CAUSE_CATEGORY,Hazardous solids (exposure to / spill / loss of containment /pollution),Substances  - Hazardous liquids (exposure to / spill / loss of containment /pollution),0.879,,,1,FALSE,7.414
1,ORGANIZATION,FLEXI FRANCE,FlexiFrance,0.9565,,,1,FALSE,7.352
1,ROOT_CAUSE_CATEGORY,Stored energy (dropped objects),Mechanical - Stored energy (dropped objects),0.8267,,,1,FALSE,7.324
1,EQUIPMENT,forklift,fork lift,0.9412,,,1,FALSE,7.238
1,EQUIPMENT,forklift,fork-lift,0.9412,,,1,FALSE,7.192
0,EQUIPMENT,forklift,Forklift1,0.9412,,1,0,FALSE,7.189
1,EQUIPMENT,forklift,forkloift,0.9412,,,1,FALSE,7.189
0,LOCATION,Train 2,Train 3,0.8571,2,3,0,TRUE,7.176
0,LOCATION,Nusajaya Campus 2,Nusajaya Campus 1,0.9412,2,1,0,TRUE,7.152
0,LOCATION,Train 2,Train 1,0.8571,2,1,0,TRUE,6.875
1,ORGANIZATION,PETROBRAS,Petrobas,0.9412,,,1,FALSE,6.848
0,LOCATION,main deck,main deckAl,0.9,,,1,FALSE,6.781
1,ORGANIZATION,TECHNIP FMC,TFMC,0.9524,,,1,FALSE,6.654
1,EQUIPMENT,forklift,forklifts,1,,,1,FALSE,6.609
1,ORGANIZATION,TECHNIPFMC UMBILICALS LTD,Technip Umbilical,0.8947,,,1,FALSE,6.592
1,ORGANIZATION,TECHNIPFMC UMBILICALS LTD,TechnipFMC Umbilicals (TU) Ltd,0.8936,,,1,FALSE,6.581
0,LOCATION,Train 3,Train 1,0.8571,3,1,0,TRUE,6.578
1,ORGANIZATION,TFMC,TechnipFMC UK,0.8696,,,1,FALSE,6.519
