value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
HPU,ORGANIZATION,ambiguous,BODY_PART; EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=54; EQUIPMENT=41; LOCATION=14; BODY_PART=1,3,56
A&R,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=10; ORGANIZATION=8; LOCATION=2,2,10
Spoolbase,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=8; ORGANIZATION=8,1,8
TH,EQUIPMENT,ambiguous,BODY_PART; EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=6; LOCATION=4; ORGANIZATION=3; BODY_PART=1,3,8
working platform,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=7; LOCATION=7,1,7
OHPL,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=4; ORGANIZATION=4; LOCATION=3,2,7
TCF,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=6; ORGANIZATION=6,1,6
test stand,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=6; LOCATION=6,1,6
MQC,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=6; ORGANIZATION=5; LOCATION=1,2,6
PLET,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=6; LOCATION=4; ORGANIZATION=2,2,6
Sabratha platform,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=5; ORGANIZATION=4; EQUIPMENT=1,2,5
mast,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=5; EQUIPMENT=4; LOCATION=1,2,5
SSIV,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=5; LOCATION=3; ORGANIZATION=2,2,5
FPSO,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=3; ORGANIZATION=3; LOCATION=2,2,5
HFL,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=4; ORGANIZATION=3; LOCATION=2,2,5
PHD,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=3; LOCATION=3; ORGANIZATION=1,2,4
Bahr Essalam Project,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=4; ORGANIZATION=4,1,4
light plant,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=3; EQUIPMENT=2; ORGANIZATION=2,2,4
test stump,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=4; EQUIPMENT=4,1,4
CCR,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=4; ORGANIZATION=4,1,4
TSM,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=3; ORGANIZATION=3,1,3
TMP module,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=2; EQUIPMENT=1,2,3
THD,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=3; ORGANIZATION=2; LOCATION=1,2,3
UTH,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=3; LOCATION=2; ORGANIZATION=1,2,3
Posh Skua,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2; EQUIPMENT=1,2,3
SRP module,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=3; EQUIPMENT=2; ORGANIZATION=1,2,3
SDU,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=3; LOCATION=2; ORGANIZATION=1,2,3
Rosebank,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=3,1,3
ROU12,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=2; LOCATION=2; ORGANIZATION=1,2,3
car,EQUIPMENT,ambiguous,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2; BODY_PART=1,2,3
PMA,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=2; EQUIPMENT=1,2,3
PAD,LOCATION,ambiguous,BODY_PART; LOCATION; ORGANIZATION,LOCATION=3; BODY_PART=2; ORGANIZATION=1,2,3
OSB,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=3,1,3
Fier Hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=3,1,3
Bourbon Emerald,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2; EQUIPMENT=1,2,3
THMRT,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=3; ORGANIZATION=3,1,3
guard,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; ORGANIZATION,BODY_PART=2; EQUIPMENT=2; ORGANIZATION=1,2,3
hardhat,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=3; EQUIPMENT=3,1,3
medical facility,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=3,1,3
carrier,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=3; ORGANIZATION=3,1,3
tank,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=3; LOCATION=3,1,3
3-rd level clinic,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=3,1,3
column,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=2; EQUIPMENT=2; LOCATION=1,2,3
hand wheel,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=3; EQUIPMENT=3,1,3
BE,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=3; ORGANIZATION=3,1,3
shoe,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=3; EQUIPMENT=3,1,3
NHT CCR,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
cab,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=2; EQUIPMENT=1; LOCATION=1,2,2
step,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=2; EQUIPMENT=1; LOCATION=1,2,2
scaffolder,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
pedestal,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=1; EQUIPMENT=1; LOCATION=1,2,2
PC37,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
paint line,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2,1,2
OOO Velesstroy medical ward,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
stud,EQUIPMENT,ambiguous,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=2; BODY_PART=1; LOCATION=1,2,2
NDT,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
MSLS,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
MMH,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
Kenz,ORGANIZATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=2; EQUIPMENT=1; LOCATION=1,2,2
KSU,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
ISMB,BODY_PART,ambiguous,BODY_PART; EQUIPMENT; LOCATION,BODY_PART=1; EQUIPMENT=1; LOCATION=1,2,2
Helia,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
Heila,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
HXT,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=2; LOCATION=1; ORGANIZATION=1,2,2
HP,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
HH,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
unit,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
pad eyes,BODY_PART,ambiguous,BODY_PART; EQUIPMENT,BODY_PART=2; EQUIPMENT=2,1,2
RLST,EQUIPMENT,ambiguous,EQUIPMENT; ORGANIZATION,EQUIPMENT=2; ORGANIZATION=2,1,2
Packing,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
local A&E,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
WOCS,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=2; LOCATION=1; ORGANIZATION=1,2,2
WHRT,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
WCP,LOCATION,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=2; EQUIPMENT=1; ORGANIZATION=1,2,2
city hospital,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
UR,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=1; LOCATION=1; ORGANIZATION=1,2,2
curve,BODY_PART,ambiguous,BODY_PART; LOCATION,BODY_PART=2; LOCATION=2,1,2
desktop,EQUIPMENT,ambiguous,EQUIPMENT; LOCATION,EQUIPMENT=2; LOCATION=2,1,2
TLP,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
Gremp,LOCATION,ambiguous,LOCATION; ORGANIZATION,LOCATION=2; ORGANIZATION=2,1,2
