value,canonical_type,confidence,types_found,count_per_type,entities_to_reclassify,edges_affected
Deep Orient,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=259; ORGANIZATION=67,1,67
HPU,ORGANIZATION,ambiguous,BODY_PART; EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=54; EQUIPMENT=41; LOCATION=14; BODY_PART=1,3,56
Deep Energy,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=217; ORGANIZATION=55,1,55
Skandi Africa,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=169; ORGANIZATION=54,1,54
Deep Blue,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=344; ORGANIZATION=45,1,45
clinic,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=55; LOCATION=34,1,34
3rd level clinic,LOCATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=79; ORGANIZATION=29; EQUIPMENT=1,2,30
TMS,LOCATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=36; ORGANIZATION=14; EQUIPMENT=11,2,25
FLT,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=26; EQUIPMENT=24; LOCATION=1,2,25
Deep Explorer,LOCATION,high,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=210; ORGANIZATION=17; EQUIPMENT=8,2,25
table,LOCATION,moderate,BODY_PART; EQUIPMENT; LOCATION,LOCATION=31; EQUIPMENT=22; BODY_PART=2,2,24
door,LOCATION,moderate,BODY_PART; EQUIPMENT; LOCATION,LOCATION=25; BODY_PART=13; EQUIPMENT=9,2,22
vessel,LOCATION,moderate,BODY_PART; LOCATION; ORGANIZATION,LOCATION=35; ORGANIZATION=18; BODY_PART=2,2,20
umbilical,EQUIPMENT,moderate,BODY_PART; EQUIPMENT,EQUIPMENT=40; BODY_PART=19,1,19
North Sea Atlantic,LOCATION,high,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=203; ORGANIZATION=17; EQUIPMENT=2,2,19
pipe,EQUIPMENT,moderate,BODY_PART; EQUIPMENT; LOCATION,EQUIPMENT=32; BODY_PART=11; LOCATION=7,2,18
STBD,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=20; LOCATION=17,1,17
forks,EQUIPMENT,high,BODY_PART; EQUIPMENT,EQUIPMENT=84; BODY_PART=16,1,16
floor,LOCATION,high,BODY_PART; LOCATION,LOCATION=263; BODY_PART=16,1,16
STU,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=18; LOCATION=16,1,16
platform,LOCATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=35; EQUIPMENT=12; ORGANIZATION=3,2,15
DP,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=30; ORGANIZATION=14,1,14
gate,LOCATION,moderate,EQUIPMENT; LOCATION,LOCATION=19; EQUIPMENT=14,1,14
Train 1,EQUIPMENT,moderate,EQUIPMENT; LOCATION,EQUIPMENT=17; LOCATION=14,1,14
XT,EQUIPMENT,high,EQUIPMENT; LOCATION; ORGANIZATION,EQUIPMENT=68; LOCATION=10; ORGANIZATION=4,2,14
TBT,ORGANIZATION,moderate,EQUIPMENT; INJURY_TYPE; LOCATION; ORGANIZATION,ORGANIZATION=40; LOCATION=7; EQUIPMENT=4; INJURY_TYPE=2,3,13
IP,ORGANIZATION,high,BODY_PART; EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=862; EQUIPMENT=7; BODY_PART=4; LOCATION=2,3,13
Kaombo Project,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=14; ORGANIZATION=13,1,13
OHC,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=17; LOCATION=11; EQUIPMENT=2,2,13
local hospital,ORGANIZATION,moderate,LOCATION; ORGANIZATION,ORGANIZATION=25; LOCATION=12,1,12
Deep Discoverer,LOCATION,high,EQUIPMENT; LOCATION; ORGANIZATION,LOCATION=149; ORGANIZATION=8; EQUIPMENT=4,2,12
factory,LOCATION,moderate,LOCATION; ORGANIZATION,LOCATION=17; ORGANIZATION=12,1,12
ambulance,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=42; ORGANIZATION=12,1,12
VHAM,ORGANIZATION,moderate,EQUIPMENT; LOCATION; ORGANIZATION,ORGANIZATION=19; EQUIPMENT=8; LOCATION=3,2,11
SST,ORGANIZATION,moderate,EQUIPMENT; ORGANIZATION,ORGANIZATION=25; EQUIPMENT=11,1,11
MEWP,EQUIPMENT,moderate,EQUIPMENT; ORGANIZATION,EQUIPMENT=21; ORGANIZATION=11,1,11
Deep Arctic,LOCATION,high,LOCATION; ORGANIZATION,LOCATION=216; ORGANIZATION=10,1,10
