entity_type,entity_id,canonical_id,cluster_id
EQUIPMENT,EQUIPMENT::30 TON OVERHEAD CRANE,EQUIPMENT::30 TON  OVERHEAD CRANE,EQUIPMENT::30 TON  OVERHEAD CRANE
EQUIPMENT,EQUIPMENT::360 EXCAVATORS,EQUIPMENT::360 EXCAVATOR,EQUIPMENT::360 EXCAVATOR
EQUIPMENT,EQUIPMENT::4-LEG CHAIN SLINGS,EQUIPMENT::4-LEG CHAIN SLING,EQUIPMENT::4-LEG CHAIN SLING
EQUIPMENT,EQUIPMENT::4X4S,EQUIPMENT::4X4,EQUIPMENT::4X4
EQUIPMENT,EQUIPMENT::A FRAME,EQUIPMENT::A FRAMES,EQUIPMENT::A FRAME
EQUIPMENT,EQUIPMENT::A&R HEADS,EQUIPMENT::A&R HEAD,EQUIPMENT::A&R HEAD
EQUIPMENT,EQUIPMENT::A-FRAMES,EQUIPMENT::A-FRAME,EQUIPMENT::A-FRAME
EQUIPMENT,EQUIPMENT::ABSORBENTS,EQUIPMENT::ABSORBENT,EQUIPMENT::ABSORBENT
EQUIPMENT,EQUIPMENT::ACCRO PROP,EQUIPMENT::ACCRO PROPS,EQUIPMENT::ACCRO PROP
EQUIPMENT,EQUIPMENT::ACCUMULATORS,EQUIPMENT::ACCUMULATOR,EQUIPMENT::ACCUMULATOR
EQUIPMENT,EQUIPMENT::ACTUATORS,EQUIPMENT::ACTUATOR,EQUIPMENT::ACTUATOR
EQUIPMENT,EQUIPMENT::ADHESIVE PLASTER,EQUIPMENT::ADHESIVE PLASTERS,EQUIPMENT::ADHESIVE PLASTER
EQUIPMENT,EQUIPMENT::AGA MASK,EQUIPMENT::AGA MASKS,EQUIPMENT::AGA MASK
EQUIPMENT,EQUIPMENT::AIR BAG,EQUIPMENT::AIR BAGS,EQUIPMENT::AIR BAG
EQUIPMENT,EQUIPMENT::AIR COMPRESSORS,EQUIPMENT::AIR COMPRESSOR,EQUIPMENT::AIR COMPRESSOR
EQUIPMENT,EQUIPMENT::AIR FILTER,EQUIPMENT::AIR FILTERS,EQUIPMENT::AIR FILTER
EQUIPMENT,EQUIPMENT::AIR HOSES,EQUIPMENT::AIR HOSE,EQUIPMENT::AIR HOSE
EQUIPMENT,EQUIPMENT::AIRBAG,EQUIPMENT::AIRBAGS,EQUIPMENT::AIRBAG
EQUIPMENT,EQUIPMENT::ANGLE GRINDER,EQUIPMENT::ANGLE GRINDERS,EQUIPMENT::ANGLE GRINDER
EQUIPMENT,EQUIPMENT::ANODE,EQUIPMENT::ANODES,EQUIPMENT::ANODE
EQUIPMENT,EQUIPMENT::ANTI-SLIP DEVICE,EQUIPMENT::ANTI-SLIP DEVICES,EQUIPMENT::ANTI-SLIP DEVICE
EQUIPMENT,EQUIPMENT::ARRIVAL VALVES,EQUIPMENT::ARRIVAL VALVE,EQUIPMENT::ARRIVAL VALVE
EQUIPMENT,EQUIPMENT::ASSEMBLY TABLES,EQUIPMENT::ASSEMBLY TABLE,EQUIPMENT::ASSEMBLY TABLE
EQUIPMENT,EQUIPMENT::ASSETS,EQUIPMENT::ASSET,EQUIPMENT::ASSET
